Field Name,Field Path,Category,Priority,Field Type,Structure Type,JSON Structure,Data Type,Unit,Description,Computation Approach,Status,Version Added,WebSocket Contracts,REST API Endpoints,Dependencies,Notes
fuel_levels_value,fuel.levels[].value,fuel,P1,prioritized,simple_value,"""example""",string,,Fuel level measured by LLS sensor via RS232/RS485,", can_fuel_litres, avl_io_390 (OBD OEM Fuel Level), obd_custom_fuel_litres, avl_io_201 (LLS 1 Fuel Level), avl_io_203 (LLS 2 Fuel Level), avl_io_210 (LLS 3 Fuel Level), avl_io_212 (LLS 4 Fuel Level), avl_io_234 (CNG Level), avl_io_270 (BLE Fuel Level #1), avl_io_273 (BLE Fuel Level #2), avl_io_84 (Fuel Level), avl_io_89 (Fuel level), ble_lls_level_1 (fuel), ble_lls_level_2 (fuel), fuel_level (Fuel Level), lls_level_1 (LLS Level 1), lls_level_2 (LLS Level 2), lls_level_3 (LLS Level 3), lls_level_4 (LLS Level 4)",active,1.0.0,,,,
sensors_magnet_id,sensors.magnet[].id,sensors,P3,direct,simple_value,"""string""",string,,Field discovered from JSON structure: sensors.magnet[].id,,active,1.0.0,,,,Discovered from JSON structure
sensors_magnet_label,sensors.magnet[].label,sensors,P3,direct,simple_value,"""string""",string,,Field discovered from JSON structure: sensors.magnet[].label,,active,1.0.0,,,,Discovered from JSON structure
sensors_magnet_position,sensors.magnet[].position,sensors,P3,direct,simple_value,"""integer""",string,,Field discovered from JSON structure: sensors.magnet[].position,,active,1.0.0,,,,Discovered from JSON structure
sensors_magnet_value,sensors.magnet[].value,sensors,P1,prioritized,value_unit_object,"{""value"":""number"",""unit"":""state""}",object,state,"Magnetic field sensor readings. Value represents sensor state (typically 0 = no magnetic field detected, 1 = magnetic field detected). Used for door/window position detection or security applications.","(BLE Magnet Sensor 1), ble_magnet_sensor_2 (BLE Magnet Sensor 2), ble_magnet_sensor_3 (BLE Magnet Sensor 3)",active,1.0.0,,,,
sensors_magnet_value_unit,sensors.magnet.value.unit,sensors,P3,direct,simple_value,"""state""",string,,Field discovered from JSON structure: sensors.magnet.value.unit,,active,1.0.0,,,,Discovered from JSON structure
sensors_magnet_value_value,sensors.magnet.value.value,sensors,P3,direct,simple_value,"""number""",string,,Field discovered from JSON structure: sensors.magnet.value.value,,active,1.0.0,,,,Discovered from JSON structure
trip,trip,metadata,P1,calculated,nested_object,"{""id"":""uuid"",""started_at"":""number"",""distance"":{""value"":45.2,""unit"":""km""},""duration"":{""value"":3600,""unit"":""s""},""start_location"":{""lat"":5.3561,""lng"":-4.0083},""current_location"":{""lat"":5.4123,""lng"":-4.0156}}",object,km,Ongoing trip information (nullable),Ignition + Movement history,active,1.0.0,,,,
trip_current_location_lat,trip.current_location.lat,metadata,P1,direct,simple_value,5.4123,number,,Field discovered from JSON structure: trip.current_location.lat,,active,1.0.0,,,,Discovered from JSON structure
trip_current_location_lng,trip.current_location.lng,metadata,P1,direct,simple_value,-4.0156,number,,Field discovered from JSON structure: trip.current_location.lng,,active,1.0.0,,,,Discovered from JSON structure
trip_distance,trip.distance,metadata,P1,direct,value_unit_object,"{""value"":45.2,""unit"":""km""}",object,km,Trip Odometer value,(Trip Odometer),active,1.0.0,,,,
trip_duration,trip.duration,metadata,P1,direct,value_unit_object,"{""value"":3600,""unit"":""s""}",object,s,Runtime since engine start,"(OBD Engine Runtime), avl_io_42 (Runtime since engine start)",active,1.0.0,,,,
trip_id,trip.id,metadata,P1,direct,simple_value,"""uuid""",string,,Field discovered from JSON structure: trip.id,,active,1.0.0,,,,Discovered from JSON structure
trip_start_location_lat,trip.start_location.lat,metadata,P1,direct,simple_value,5.3561,number,,Field discovered from JSON structure: trip.start_location.lat,,active,1.0.0,,,,Discovered from JSON structure
trip_start_location_lng,trip.start_location.lng,metadata,P1,direct,simple_value,-4.0083,number,,Field discovered from JSON structure: trip.start_location.lng,,active,1.0.0,,,,Discovered from JSON structure
trip_started_at,trip.started_at,metadata,P1,direct,simple_value,"""number""",string,,Field discovered from JSON structure: trip.started_at,,active,1.0.0,,,,Discovered from JSON structure
