AVL ID,Parameter Name,flespi Parameter Path,Data Type,Units,Description,Notes / Source
22,ble.sensor.battery.level,ble.sensor.battery.level,number,percentage,BLE (Bluetooth Low Energy) sensor battery level,"flespi Teltonika protocol page, last retrieved 2025-11-28"
22,device.configuration.id,device.configuration.id,number,N/A,Configuration profile index,"flespi Teltonika protocol page, last retrieved 2025-11-28"
22,gsm.network.mode.enum,gsm.network.mode.enum,number,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) mode: 0 – Home On Stop, 1 – Home On Moving, 2 – Roaming On Stop, 3 – Roaming On Moving, 4 – Unknown On Stop, 5 – Unknown On Moving","flespi Teltonika protocol page, last retrieved 2025-11-28"
22,gsm.network.roaming.status,gsm.network.roaming.status,boolean,N/A,"Mobile network (GSM, 3G, 4G, LTE, 5G, ...) in roaming mode","flespi Teltonika protocol page, last retrieved 2025-11-28"
23,absolute.acceleration,absolute.acceleration,number,g,Module of accelerometer vector,"flespi Teltonika protocol page, last retrieved 2025-11-28"
23,ble.sensor.battery.level,ble.sensor.battery.level,number,percentage,BLE (Bluetooth Low Energy) sensor battery level,"flespi Teltonika protocol page, last retrieved 2025-11-28"
23,can.engine.load.level,can.engine.load.level,number,percentage,Calculated engine load level read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
24,position.speed,position.speed,number,km/h,Instant speed at position detection moment,"flespi Teltonika protocol page, last retrieved 2025-11-28"
25,ble.sensor.temperature,ble.sensor.temperature,number,celsius,BLE (Bluetooth Low Energy) sensor Temperature value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
25,ble.sensor.temperature,ble.sensor.temperature,number,celsius,BLE (Bluetooth Low Energy) sensor Temperature value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
25,ble.sensor.temperature.error.code,ble.sensor.temperature.error.code,string,N/A,BLE temperature sensor error description,"flespi Teltonika protocol page, last retrieved 2025-11-28"
25,can.engine.temperature,can.engine.temperature,number,celsius,Engine temperature read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
26,ble.sensor.temperature,ble.sensor.temperature,number,celsius,BLE (Bluetooth Low Energy) sensor Temperature value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
26,ble.sensor.temperature,ble.sensor.temperature,number,celsius,BLE (Bluetooth Low Energy) sensor Temperature value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
26,ble.sensor.temperature.error.code,ble.sensor.temperature.error.code,string,N/A,BLE temperature sensor error description,"flespi Teltonika protocol page, last retrieved 2025-11-28"
26,can.axle.weight,can.axle.weight,number,kg,Weight on the axle read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
27,ble.sensor.temperature,ble.sensor.temperature,number,celsius,BLE (Bluetooth Low Energy) sensor Temperature value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
27,ble.sensor.temperature,ble.sensor.temperature,number,celsius,BLE (Bluetooth Low Energy) sensor Temperature value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
27,ble.sensor.temperature.error.code,ble.sensor.temperature.error.code,string,N/A,BLE temperature sensor error description,"flespi Teltonika protocol page, last retrieved 2025-11-28"
27,can.axle.weight,can.axle.weight,number,kg,Weight on the axle read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
28,ble.sensor.temperature,ble.sensor.temperature,number,celsius,BLE (Bluetooth Low Energy) sensor Temperature value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
28,ble.sensor.temperature,ble.sensor.temperature,number,celsius,BLE (Bluetooth Low Energy) sensor Temperature value,"flespi Teltonika protocol page, last retrieved 2025-11-28"
28,ble.sensor.temperature.error.code,ble.sensor.temperature.error.code,string,N/A,BLE temperature sensor error description,"flespi Teltonika protocol page, last retrieved 2025-11-28"
28,can.axle.weight,can.axle.weight,number,kg,Weight on the axle read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
29,ble.sensor.battery.level,ble.sensor.battery.level,number,percentage,BLE (Bluetooth Low Energy) sensor battery level,"flespi Teltonika protocol page, last retrieved 2025-11-28"
29,ble.sensor.battery.voltage,ble.sensor.battery.voltage,number,volts,BLE (Bluetooth Low Energy) sensor battery voltage,"flespi Teltonika protocol page, last retrieved 2025-11-28"
29,can.axle.weight,can.axle.weight,number,kg,Weight on the axle read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
30,can.dtc.number,can.dtc.number,number,N/A,Number of diagnostic trouble codes,"flespi Teltonika protocol page, last retrieved 2025-11-28"
30,can.vehicle.speed,can.vehicle.speed,number,km/h,Vehicle speed read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
31,can.engine.load.level,can.engine.load.level,number,percentage,Calculated engine load level read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
31,can.throttle.pedal.level,can.throttle.pedal.level,number,percentage,Throttle pedal push level read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
32,can.axle.weight,can.axle.weight,number,kg,Weight on the axle read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
32,can.engine.coolant.temperature,can.engine.coolant.temperature,number,celsius,Engine coolant temperature read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
32,can.engine.temperature,can.engine.temperature,number,celsius,Engine temperature read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
33,can.fuel.consumed,can.fuel.consumed,number,liters,Fuel volume totally consumed by vehicle read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
33,can.short.fuel.trim,can.short.fuel.trim,number,percentage,Short term fuel trim read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
34,can.fuel.pressure,can.fuel.pressure,number,kPa,Fuel pressure read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
34,can.fuel.volume,can.fuel.volume,number,liters,CAN fuel volume,"flespi Teltonika protocol page, last retrieved 2025-11-28"
35,can.engine.rpm,can.engine.rpm,number,rpm,Engine RPM read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
35,can.intake.map,can.intake.map,number,kPa,Intake manifold absolute pressure,"flespi Teltonika protocol page, last retrieved 2025-11-28"
36,can.engine.rpm,can.engine.rpm,number,rpm,Engine RPM read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
36,can.vehicle.mileage,can.vehicle.mileage,number,km,Total vehicle mileage read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
37,can.fuel.level,can.fuel.level,number,percentage,Fuel level in tank read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
37,can.vehicle.speed,can.vehicle.speed,number,km/h,Vehicle speed read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.abs.failure.indicator.status,can.abs.failure.indicator.status,boolean,N/A,ABS failure indicator status read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.airbag.indicator.status,can.airbag.indicator.status,boolean,N/A,Airbag indicator status read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.air.condition.status,can.air.condition.status,boolean,N/A,CAN air conditioning is on,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.automatic.retarder.status,can.automatic.retarder.status,boolean,N/A,"Automatic retarder status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.battery.indicator.status,can.battery.indicator.status,boolean,N/A,Battery indicator status read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.check.engine.indicator.status,can.check.engine.indicator.status,boolean,N/A,Check engine indicator status read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.coolant.level.low.indicator.status,can.coolant.level.low.indicator.status,boolean,N/A,Coolant level low indicator status read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.cruise.status,can.cruise.status,boolean,N/A,CAN cruise control is active,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.driver.seatbelt.indicator.status,can.driver.seatbelt.indicator.status,boolean,N/A,Driver's seatbelt indicator status read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.electronic.power.control.status,can.electronic.power.control.status,boolean,N/A,"Electronic power control status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.eps.indicator.status,can.eps.indicator.status,boolean,N/A,"Electric power steering indicator status, reaf from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.esp.indicator.status,can.esp.indicator.status,boolean,N/A,"Electronic stability program indicator status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.esp.status,can.esp.status,boolean,N/A,CAN ESP warning is on,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.front.fog.lights.status,can.front.fog.lights.status,boolean,N/A,CAN front fog lights are on,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.fuel.level.low.indicator.status,can.fuel.level.low.indicator.status,boolean,N/A,"Low fuel level indicator status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.glow.plug.indicator.status,can.glow.plug.indicator.status,boolean,N/A,"Glow plug indicator status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.handbrake.indicator.status,can.handbrake.indicator.status,boolean,N/A,"Status of handbrake system indicator, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.high.beam.status,can.high.beam.status,boolean,N/A,CAN high beams are on,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.lights.failure.indicator.status,can.lights.failure.indicator.status,boolean,N/A,"Lights failure indicator status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.low.beam.status,can.low.beam.status,boolean,N/A,CAN low beams are on,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.maintenance.required.status,can.maintenance.required.status,boolean,N/A,"Maintenance required status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.manual.retarder.status,can.manual.retarder.status,boolean,N/A,"Manual retarder status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.oil.pressure.indicator.status,can.oil.pressure.indicator.status,boolean,N/A,Oil pressure indicator status read from CAN bus,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.parking.lights.status,can.parking.lights.status,boolean,N/A,"Parking light status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.passenger.seatbelt.indicator.status,can.passenger.seatbelt.indicator.status,boolean,N/A,Passenger seatbelt indicator status read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.ready.to.drive.indicator.status,can.ready.to.drive.indicator.status,boolean,N/A,"Ready to drive indicator status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.rear.fog.lights.status,can.rear.fog.lights.status,boolean,N/A,CAN rear fog lights are on,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.soot.filter.indicator.status,can.soot.filter.indicator.status,boolean,N/A,"DPF/FAP soot filter indicator status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.stop.indicator.status,can.stop.indicator.status,boolean,N/A,STOP indicator status read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.timing.advance,can.timing.advance,number,degrees,Ignition timing advance read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.tire.pressure.low.status,can.tire.pressure.low.status,boolean,N/A,"Tire pressure low status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.warning.indicator.status,can.warning.indicator.status,boolean,N/A,"Warning indicator status, read from CAN bus","flespi Teltonika protocol page, last retrieved 2025-11-28"
38,can.wear.brake.pads.indicator.status,can.wear.brake.pads.indicator.status,boolean,N/A,"Wear brake pads indicator status, read from CAN bus","flespi Teltonika protocol page, last retrieved 2025-11-28"
39,agro.vehicle.state.bitmask,agro.vehicle.state.bitmask,number,N/A,Agricultural machinery flags,"flespi Teltonika protocol page, last retrieved 2025-11-28"
39,can.intake.air.temperature,can.intake.air.temperature,number,celsius,Intake air temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
40,can.maf.air.flow.rate,can.maf.air.flow.rate,number,g/sec,MAF air flow rate read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
40,harvest.duration,harvest.duration,number,seconds,Harvesting time,"flespi Teltonika protocol page, last retrieved 2025-11-28"
41,can.throttle.pedal.level,can.throttle.pedal.level,number,percentage,Throttle pedal push level read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
41,harvest.area,harvest.area,number,m^2,Area of harvest,"flespi Teltonika protocol page, last retrieved 2025-11-28"
42,can.engine.run.time,can.engine.run.time,number,seconds,Run time since engine start read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
42,grain.mowing.efficiency.meters2_h,grain.mowing.efficiency.meters2_h,number,m^2/h,Mowing efficiency,"flespi Teltonika protocol page, last retrieved 2025-11-28"
43,can.mil.mileage,can.mil.mileage,number,km,"Distance traveled while malfunction indicator lamp is activated, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
43,grain.mowing.volume.kg,grain.mowing.volume.kg,number,kg,Mown volume,"flespi Teltonika protocol page, last retrieved 2025-11-28"
44,can.relative.fuel.rail.pressure,can.relative.fuel.rail.pressure,number,kPa,Fuel rail pressure relative to manifold vacuum,"flespi Teltonika protocol page, last retrieved 2025-11-28"
44,grain.moisture.level,grain.moisture.level,number,percentage,Grain moisture,"flespi Teltonika protocol page, last retrieved 2025-11-28"
45,can.direct.fuel.rail.pressure,can.direct.fuel.rail.pressure,number,kPa,Fuel rail gauge pressure for diesel or gasoline direct injection,"flespi Teltonika protocol page, last retrieved 2025-11-28"
45,harvest.drum.rpm,harvest.drum.rpm,number,rpm,Harvesting drum RPM,"flespi Teltonika protocol page, last retrieved 2025-11-28"
46,can.commanded.egr,can.commanded.egr,number,percentage,Commanded EGR value read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
46,harvest.drum.gap,harvest.drum.gap,number,mm,Gap under harvesting drum,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,button.pressed.status,button.pressed.status,boolean,N/A,Any operate button in the car was put,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,cable.connected.status,cable.connected.status,boolean,N/A,Charging cable connected status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.car.closed.remote.status,can.car.closed.remote.status,boolean,N/A,"Car closed by factory's remote control, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.car.closed.status,can.car.closed.status,boolean,N/A,"Car closed status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.connection.state,can.connection.state,number,N/A,The car synchronization state,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.dynamic.ignition.status,can.dynamic.ignition.status,boolean,N/A,"Dynamic ignition is ON, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.egr.error,can.egr.error,number,percentage,EGR Error read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.engine.ignition.status,can.engine.ignition.status,boolean,N/A,CAN engine ignition status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.engine.working.status,can.engine.working.status,boolean,N/A,"Engine is working, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.factory.armed.status,can.factory.armed.status,boolean,N/A,"Factory armed status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.front.left.door.status,can.front.left.door.status,boolean,N/A,CAN front left door is opened,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.front.right.door.status,can.front.right.door.status,boolean,N/A,CAN front right door is opened,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.handbrake.status,can.handbrake.status,boolean,N/A,CAN handbrake is pulled up,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.hood.status,can.hood.status,boolean,N/A,CAN hood is opened,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.ignition.key.status,can.ignition.key.status,boolean,N/A,"The key is in ignition lock status, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.lights.hazard.lights.status,can.lights.hazard.lights.status,boolean,N/A,CAN lights info hazard lights status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.module.sleep.mode,can.module.sleep.mode,boolean,N/A,CAN module goes to the sleep mode,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.parking.status,can.parking.status,boolean,N/A,"Parking is activated for automatic gearbox, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.pedal.brake.status,can.pedal.brake.status,boolean,N/A,"Footbrake pedal is depressed, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.private.status,can.private.status,boolean,N/A,"Vehicle works in private mode, read from CAN bus","flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.rear.left.door.status,can.rear.left.door.status,boolean,N/A,CAN rear left door is opened,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.rear.right.door.status,can.rear.right.door.status,boolean,N/A,CAN rear right door is opened,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.reverse.gear.status,can.reverse.gear.status,boolean,N/A,CAN reverse gear is on,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.trunk.status,can.trunk.status,boolean,N/A,CAN trunk is opened,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.vehicle.battery.charging.status,can.vehicle.battery.charging.status,boolean,N/A,Vehicle battery charging status get from CAN Bus,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,can.webasto.status,can.webasto.status,boolean,N/A,Webasto status read from CAN bus,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,car.remote.control.state,car.remote.control.state,number,N/A,,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,factory.alarm.actuated.status,factory.alarm.actuated.status,boolean,N/A,Factory-installed alarm system is actuated (is in panic mode) status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,factory.alarm.emulated.status,factory.alarm.emulated.status,boolean,N/A,Factory-installed alarm system is emulated by module status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,immobilizer.keys.status,immobilizer.keys.status,boolean,N/A,Programmed sequence of keys is introduced to the immobiliser in the car,"flespi Teltonika protocol page, last retrieved 2025-11-28"
47,immobilizer.service.status,immobilizer.service.status,boolean,N/A,immobilizer is in the service mode status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
48,can.fuel.level,can.fuel.level,number,percentage,Fuel level in tank read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
48,tacho.data.source,tacho.data.source,string,N/A,Tacho data source,"flespi Teltonika protocol page, last retrieved 2025-11-28"
49,can.distance.since.codes.cleared,can.distance.since.codes.cleared,number,km,Distance traveled since codes cleared,"flespi Teltonika protocol page, last retrieved 2025-11-28"
50,can.barometric.pressure,can.barometric.pressure,number,kPa,Absolute barometric pressure read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
50,dout,dout,number,N/A,Digital outputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
51,can.control.module.voltage,can.control.module.voltage,number,volts,Control module voltage read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
51,dout,dout,number,N/A,Digital outputs bitmask,"flespi Teltonika protocol page, last retrieved 2025-11-28"
52,can.absolute.load,can.absolute.load,number,percentage,"Absolute load value - the normalized value of air mass per intake stroke, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
53,can.ambient.air.temperature,can.ambient.air.temperature,number,celsius,CAN ambient air temperature,"flespi Teltonika protocol page, last retrieved 2025-11-28"
54,can.mil.time,can.mil.time,number,hours,"Time run with malfunction indicator lamp activated, read from CAN","flespi Teltonika protocol page, last retrieved 2025-11-28"
55,can.time.since.codes.cleared,can.time.since.codes.cleared,number,minutes,Time since trouble codes cleared,"flespi Teltonika protocol page, last retrieved 2025-11-28"
56,can.absolute.fuel.rail.pressure,can.absolute.fuel.rail.pressure,number,kPa,Absolute fuel rail pressure,"flespi Teltonika protocol page, last retrieved 2025-11-28"
56,tacho.driver.continuous_driving.duration,tacho.driver.continuous_driving.duration,number,seconds,Driver continuous driving time,"flespi Teltonika protocol page, last retrieved 2025-11-28"
57,can.hybrid.battery.pack.life,can.hybrid.battery.pack.life,number,percentage,Hybrid battery pack remaining life,"flespi Teltonika protocol page, last retrieved 2025-11-28"
57,tacho.driver.continuous_driving.duration,tacho.driver.continuous_driving.duration,number,seconds,Driver continuous driving time,"flespi Teltonika protocol page, last retrieved 2025-11-28"
58,can.engine.oil.temperature,can.engine.oil.temperature,number,celsius,Engine oil temperature read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
58,tacho.driver.cumulative_break.duration,tacho.driver.cumulative_break.duration,number,seconds,Driver cumulative break time,"flespi Teltonika protocol page, last retrieved 2025-11-28"
59,can.fuel.injection.timing,can.fuel.injection.timing,number,degrees,Fuel injection timing read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
59,tacho.driver.cumulative_break.duration,tacho.driver.cumulative_break.duration,number,seconds,Driver cumulative break time,"flespi Teltonika protocol page, last retrieved 2025-11-28"
60,can.fuel.consumption,can.fuel.consumption,number,liters/h,Engine fuel rate read from CAN,"flespi Teltonika protocol page, last retrieved 2025-11-28"
60,tacho.driver.selected.activity.duration,tacho.driver.selected.activity.duration,number,seconds,"Indexed Tacho parameter indicating current duration of the selected activity, since selected and which may be the current driving period, availability period, rest period or work period","flespi Teltonika protocol page, last retrieved 2025-11-28"
61,geofence.status,geofence.status,boolean,N/A,Geofence entered status,"flespi Teltonika protocol page, last retrieved 2025-11-28"
61,overspeeding.status,overspeeding.status,boolean,N/A,Overspeeding detected,"flespi Teltonika protocol page, last retrieved 2025-11-28"
