Property ID in AVL packet,Property Name,Bytes,Type,Value range Min,Value range Max,Multiplier,Units,Description,HW Support,Parameter Group
206,GSM Area Code,2,Unsigned,0,65535,,,"Location Area code (LAC), it depends on GSM operator. It provides unique number which assigned to a set of base GSM stations.",FMBXXX FMB001 FMC001 FMB010 FMB002 FMB020 FMB003 FMB110 FMB120 FMB122 FMB125 FMU125 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMP100 MSP500 FMC800 FMM800 FMM80A,Permanent I/O elements
67,Battery Voltage,2,Unsigned,0,65535,0.001,V,Voltage,FMBXXX FMB001 FMC001 FMB010 FMB120 FMB122 FMB125 FMB130 FMB140 FMB150 FMC150 FMM150 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMC800 FMM800 FMM80A,Permanent I/O elements
68,Battery Current,2,Unsigned,0,65535,0.001,A,Current,FMBXXX FMB001 FMC001 FMB010 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMU130 FMC130 FMM130 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMB140 FMC800 FMM800 FMM80A,Permanent I/O elements
241,Active GSM Operator,4,Unsigned,0,4294967295,,,Currently used GSM Operator code,FMBXXX FMB001 FMC001 FMB010 FMB002 FMB020 FMB003 FMB110 FMB120 FMB122 FMB125 FMU125 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMP100 MSP500 FMC800 FMM800 FMM80A,Permanent I/O elements
199,Trip Odometer,4,Unsigned,0,2147483647,,m,Trip Odometer value,FMBXXX FMB001 FMC001 FMB010 FMB002 FMB020 FMB003 FMB110 FMB120 FMB122 FMB125 FMU125 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMP100 MSP500 FMC800 FMM800 FMM80A,Permanent I/O elements
16,Total Odometer,4,Unsigned,0,2147483647,,,Total Odometer value in meters,FMBXXX FMB001 FMC001 FMB010 FMB002 FMB020 FMB003 FMB110 FMB120 FMB122 FMB125 FMU125 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMP100 MSP500 FMC800 FMM800 FMM80A,Permanent I/O elements
1,Digital Input 1,1,Unsigned,0,1,,,Logic: 0/1,FMBXXX FMB001 FMC001 FMB010 FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMU130 FMC130 FMM130 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FMB202 FMB204 FMB206 MTB100,Permanent I/O elements
9,Analog Input 1,2,Unsigned,0,65535,0.001,V,Voltage,FMBXXX FMB001 FMB010 FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMU130 FMC130 FMM130 FMB140 FMB900 FMB920 FMB962 FMB964 FMB202 FMB204 FMB206 MTB100,Permanent I/O elements
179,Digital Output 1,1,Unsigned,0,1,,,Logic: 0/1,FMBXXX FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMU130 FMC130 FMM130 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FMB202 FMB204 FMB206 MTB100,Permanent I/O elements
12,Fuel Used GPS,4,Unsigned,0,4294967295,0.001,l,Fuel Used,FMBXXX FMB001 FMC001 FMB010 FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMU130 FMC130 FMM130 FMB140 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMC800 FMM800 FMM80A,Permanent I/O elements
13,Fuel Rate GPS,2,Unsigned,0,32767,0.01,l/100km,Average Fuel Use,FMBXXX FMB001 FMC001 FMB010 FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMU130 FMC130 FMM130 FMB140 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMC800 FMM800 FMM80A,Permanent I/O elements
17,Axis X,2,Signed,-8000,8000,,mG,X axis value,FMBXXX FMB001 FMC001 FMB010 FMB002 FMB020 FMB003 FMB110 FMB120 FMB122 FMB125 FMU125 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMP100 MSP500 FMC800 FMM800 FMM80A,Permanent I/O elements
18,Axis Y,2,Signed,-8000,8000,,mG,Y axis value,FMBXXX FMB001 FMC001 FMB010 FMB002 FMB020 FMB003 FMB110 FMB120 FMB122 FMB125 FMU125 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMP100 MSP500 FMC800 FMM800 FMM80A,Permanent I/O elements
19,Axis Z,2,Signed,-8000,8000,,mG,Z axis value,FMBXXX FMB001 FMC001 FMB010 FMB002 FMB020 FMB003 FMB110 FMB120 FMB122 FMB125 FMU125 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMP100 MSP500 FMC800 FMM800 FMM80A,Permanent I/O elements
11,ICCID1,8,Unsigned,0,0xffffffffffffffff,,,"Value of SIM ICCID, MSB",FMBXXX FMB001 FMC001 FMB010 FMB002 FMB020 FMB003 FMB110 FMB120 FMB122 FMB125 FMU125 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMP100 MSP500 FMC800 FMM800 FMM80A,Permanent I/O elements
10,SD Status,1,Unsigned,0,1,,,0 - not present 1 - present,FMBXXX FMB001 FMB010 FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMB130 FMU130 FMC130 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100,Permanent I/O elements
2,Digital Input 2,1,Unsigned,0,1,,,Logic: 0/1,FMBXXX FMB900 FMB910 FMB920 FMC920 FMM920 FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMU130 FMC130 FMM130 FMB140 FMB150 FMC150 FMM150 FMB202 FMB204 FMB206 FMB640,Permanent I/O elements
3,Digital Input 3,1,Unsigned,0,1,,,Logic: 0/1,FMBXXX FMB110 FMB120 FMB122 FMB140 FMB150 FMC150 FMM150 FMB202 FMB204 FMB206 FMB640,Permanent I/O elements
6,Analog Input 2,2,Unsigned,0,65535,0.001,V,Voltage,FMBXXX FMB110 FMB120 FMB122 FMB130 FMU130 FMC130 FMM130 FMB140,Permanent I/O elements
180,Digital Output 2,1,Unsigned,0,1,,,Logic 0/1,FMBXXX FMB110 FMB120 FMB122 FMB130 FMU130 FMC130 FMM130 FMB140 FMB150 FMC150 FMM150 FMB202 FMB204 FMB206,Permanent I/O elements
72,Dallas Temperature 1,4,Signed,-550,1150,0.1,°C,"Degrees ( °C ), -55 - +115, if 850 – Sensor not ready if 2000 – Value read error if 3000 – Not connected if 4000 – ID failed if 5000 – same as 850",FMBXXX FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMB140 FMB150 FMC150 FMM150 FMU130 FMC130 FMM130 FMB202 FMB204 FMB206,Permanent I/O elements
73,Dallas Temperature 2,4,Signed,-550,1150,0.1,°C,"Degrees ( °C ), -55 - +115, if 850 – Sensor not ready if 2000 – Value read error if 3000 – Not connected if 4000 – ID failed if 5000 – same as 850",FMBXXX FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMB140 FMB150 FMC150 FMM150 FMU130 FMC130 FMM130 FMB202 FMB204 FMB206,Permanent I/O elements
74,Dallas Temperature 3,4,Signed,-550,1150,0.1,°C,"Degrees ( °C ), -55 - +115, if 850 – Sensor not ready if 2000 – Value read error if 3000 – Not connected if 4000 – ID failed if 5000 – same as 850",FMBXXX FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMB140 FMB150 FMC150 FMM150 FMU130 FMC130 FMM130 FMB202 FMB204 FMB206,Permanent I/O elements
75,Dallas Temperature 4,4,Signed,-550,1150,0.1,°C,"Degrees ( °C ), -55 - +115, if 850 – Sensor not ready if 2000 – Value read error if 3000 – Not connected if 4000 – ID failed if 5000 – same as 850",FMBXXX FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMB140 FMB150 FMC150 FMM150 FMU130 FMC130 FMM130 FMB202 FMB204 FMB206,Permanent I/O elements
76,Dallas Temperature ID 1,8,Unsigned,0,0xffffffffffffffff,,,Dallas sensor ID,FMBXXX FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMB140 FMB150 FMC150 FMM150 FMU130 FMC130 FMM130 FMB202 FMB204 FMB206,Permanent I/O elements
77,Dallas Temperature ID 2,8,Unsigned,0,0xffffffffffffffff,,,Dallas sensor ID,FMBXXX FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMB140 FMB150 FMC150 FMM150 FMU130 FMC130 FMM130 FMB202 FMB204 FMB206,Permanent I/O elements
79,Dallas Temperature ID 3,8,Unsigned,0,0xffffffffffffffff,,,Dallas sensor ID,FMBXXX FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMB140 FMB150 FMC150 FMM150 FMU130 FMC130 FMM130 FMB202 FMB204 FMB206,Permanent I/O elements
71,Dallas Temperature ID 4,8,Unsigned,0,0xffffffffffffffff,,,Dallas sensor ID,FMBXXX FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMB140 FMB150 FMC150 FMM150 FMU130 FMC130 FMM130 FMB202 FMB204 FMB206,Permanent I/O elements
78,iButton,8,Unsigned,0,0xffffffffffffffff,,,iButton ID,FMBXXX FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMB140 FMB150 FMC150 FMM150 FMU130 FMC130 FMM130 FMB202 FMB204 FMB206,Permanent I/O elements
207,RFID,8,Unsigned,0,0xffffffffffffffff,,,RFID ID,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
201,LLS 1 Fuel Level,2,Signed,-4,32767,,kvants or ltr,Fuel level measured by LLS sensor via RS232/RS485,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
202,LLS 1 Temperature,1,Signed,-128,127,,°C,Fuel temperature measured by LLS via RS232/RS485,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
203,LLS 2 Fuel Level,2,Signed,-4,32767,,kvants or ltr,Fuel level measured by LLS sensor via RS485,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
204,LLS 2 Temperature,1,Signed,-128,127,,°C,Fuel temperature measured by LLS via RS485,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
210,LLS 3 Fuel Level,2,Unsigned,-4,32767,,kvants or ltr,Fuel level measured by LLS sensor via RS485,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
211,LLS 3 Temperature,1,Signed,-128,127,,°C,Fuel temperature measured by LLS via RS485,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
212,LLS 4 Fuel Level,2,Signed,-4,32767,,kvants or ltr,Fuel level measured by LLS sensor via RS485,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
213,LLS 4 Temperature,1,Signed,-128,127,,°C,Fuel temperature measured by LLS via RS485,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
214,LLS 5 Fuel Level,2,Signed,-4,32767,,kvants or ltr,Fuel level measured by LLS sensor via RS485,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
215,LLS 5 Temperature,1,Signed,-128,127,,°C,Fuel temperature measured by LLS via RS485,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
15,Eco Score,2,Unsigned,0,65535,0.01,,Average amount of events on some distance,FMBXXX FMB001 FMC001 FMB010 FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMU130 FMC130 FMM130 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMC800 FMM800 FMM80A,Permanent I/O elements
113,Battery Level,1,Unsigned,0,100,,%,Battery capacity level,FMBXXX FMB001 FMC001 FMB010 FMB120 FMB122 FMB125 FMB130 FMB140 FMB150 FMC150 FMM150 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMC800 FMM800 FMM80A,Permanent I/O elements
238,User ID,8,Unsigned,0,0xffffffffffffffff,,,MAC address of NMEA receiver device connected via Bluetooth,FMBXXX FMB001 FMC001 FMB010 FMB110 FMB120 FMB122 FMB125 FMB130 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB202 FMB204 FMB206 FMT100 FMP100 FMC001 FMC125 FMC130 FMC920 FMM001 FMM125 FMM130 FMC800 FMM800 FMM80A FMC880 FMM880 FMM920 FMC250,Permanent I/O elements
237,Network Type,1,Unsigned,0,1,,,0 - 3G 1 - GSM 2 - 4G 3 - LTE CAT M1 4 - LTE CAT NB1 99 - Unknown,FMBXXX FM3001 FMU125 FMU126 FMU130 FMC125 FMC130 FMC150 FMM125 FMM130 FMM150 FMC001 FMM001 FMC800 FMM800 FMC880 FMM880 FMM80A,Permanent I/O elements
4,Pulse Counter Din1,4,Unsigned,0,4294967295,,,"Counts pulses, count is reset when records are saved",FMBXXX FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMU130 FMC130 FMM130,Permanent I/O elements
5,Pulse Counter Din2,4,Unsigned,0,4294967295,,,"Counts pulses, count is reset when records are saved",FMBXXX FMB110 FMB120 FMB122 FMB130 FMU130 FMC130 FMM130,Permanent I/O elements
263,BT Status,1,Unsigned,0,4,,,"0 - BT is disabled 1 - BT Enabled, not device connected 2 - Device connected, BTv3 Only 3 - Device connected, BLE only 4 - Device connected, BLE + BT",FMBXXX FMB001 FMC001 FMB010 FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMU130 FMC130 FMM130 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100 FMC800 FMM800 FMM80A,Permanent I/O elements
264,Barcode ID,Variable,ASCII,0,32,,,Barcode ID,FMBXXX FMB001 FMB010 FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMU130 FMC130 FMM130 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100,Permanent I/O elements
303,Instant Movement,1,Unsigned,0,1,,,Logic: 0/1 returns movement value,FMBXXX FMB001 FMC001 FMB010 FMB110 FMB120 FMB122 FMB125 FMU125 FMC125 FMM125 FMB130 FMU130 FMC130 FMM130 FMB140 FMB150 FMC150 FMM150 FMB900 FMB920 FMB962 FMB964 FM3001 FMB202 FMB204 FMB206 FMT100 MTB100,Permanent I/O elements
327,UL202-02 Sensor Fuel level,2,Signed,-150,32767,0.1,mm,UL202-02 Sensor Fuel level,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
483,UL202-02 Sensor Status,1,Unsigned,0,255,,,UL202-02 sensor status codes,FMB125 FMB125 FMU125 FMC125 FMM125,Permanent I/O elements
380,Digital output 3,1,Unsigned,0,1,,,Logic: 0/1,FMBXXX FMB130 FMU130 FMC130 FMC150 FMM130,Permanent I/O elements
381,Ground Sense,1,Unsigned,0,1,,,Logic: 0/1,FMB130 FMU130 FMC130 FMM130 FMB140,Permanent I/O elements
636,UMTS/LTE Cell ID,4,Unsigned,0,0xFFFFFFFF,,,,FMBXXX FMU125 FMU126 FMU130 FMC001 FMC125 FMC130 FMM001 FMM125 FMM130 FMC150 FMM150 FMC800 FMM800 FMM80A,Permanent I/O elements
403,Driver Name,35,Unsigned,,,,,"Driver name extracted from card, displayed without delimiters ($ signs)",FMBXXX FMU126,Permanent I/O elements
404,Driver card license type,1,Unsigned,0,8,,,None - 0 B.1 license type - 1 B.2 license type - 2 B.3 license type - 3 B.4 license type - 4 T.1 license type - 5 T.2 license type - 6 T.3 license type - 7 T.4 license type - 8,FMBXXX FMU126,Permanent I/O elements
405,Driver Gender,1,Unsigned,0,2,,,None - 0 Male - 1 Female - 2,FMBXXX FMU126,Permanent I/O elements
406,Driver Card ID,4,Unsigned,0,4294967295,,,None - 0 Male - 1 Female - 2,FMBXXX FMU126,Permanent I/O elements
407,Driver card expiration date,1,Unsigned,0,9999,,,,FMBXXX FMU126,Permanent I/O elements
408,Driver Card place of issue,4,Unsigned,0,65535,,,Extracted from card,FMBXXX FMU126,Permanent I/O elements
409,Driver Status Event,1,Unsigned,0,2,,,Registered - 0 Deregistered - 1 Swapping - 2,FMBXXX FMU126,Permanent I/O elements
329,AIN Speed,2,Unsigned,0,65535,,,,MSP500,Permanent I/O elements
500,MSP500 vendor name,40,ASCII,0,40,,,Name of the integrator who installed the device,MSP500,Permanent I/O elements
501,MSP500 vehicle number,40,ASCII,0,40,,,Vehicle number on which the device is installed,MSP500,Permanent I/O elements
502,MSP500 speed sensor,1,unsigned,0,1,,,Status of the speed sensor,MSP500,Permanent I/O elements
637,Wake Reason,1,Unsigned,0,1,,,True if device was woken by RTC alarm,FMB965,Permanent I/O elements
10800,EYE Temperature 1,2,Signed,-32768,32767,0.01,°C,Temperature measured by EYE Sensor 1,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10801,EYE Temperature 2,2,Signed,-32768,32767,0.01,°C,Temperature measured by EYE Sensor 2,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10802,EYE Temperature 3,2,Signed,-32768,32767,0.01,°C,Temperature measured by EYE Sensor 3,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10803,EYE Temperature 4,2,Signed,-32768,32767,0.01,°C,Temperature measured by EYE Sensor 4,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10804,EYE Humidity 1,1,Unsigned,0,100,,%,Humidity measured by EYE Sensor 1,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10805,EYE Humidity 2,1,Unsigned,0,100,,%,Humidity measured by EYE Sensor 2,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10806,EYE Humidity 3,1,Unsigned,0,100,,%,Humidity measured by EYE Sensor 3,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10807,EYE Humidity 4,1,Unsigned,0,100,,%,Humidity measured by EYE Sensor 4,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10808,EYE Magnet 1,1,Unsigned,0,1,,,Magnet measured by EYE Sensor by EYE Sensor 1,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
10809,EYE Magnet 2,1,Unsigned,0,1,,,Magnet measured by EYE Sensor by EYE Sensor 2,FMBXXX [Expand] FMB001 FMB010 FMB100 FMB110 FMB120 FMB122 FMB125 FMB130 FMB900 FMB920 FMB962 FMB964 FM3001 FM3010 FMB202 FMB204 FMB206 FMB207 FMT100 MTB100 TMT250 GH5200 FMB140 FMB020 FMB002 FMB003 FMU120 FMU122 FMU125 FMU126 FMU130 FMC120 FMC122 FMC125 FMC130 FMM125 FMM130 FMC001 FMM001 TFT100 FMB910,Permanent I/O elements
