Field Name,Field Path,Category,Priority,Field Type,Structure Type,JSON Structure,Data Type,Unit,Description,Computation Approach,Status,Version Added,WebSocket Contracts,REST API Endpoints,Dependencies,Notes
asset_accessories_label,asset.accessories[].label,metadata,P1,transformed,simple_value,"""Main immobilizer relay""",string,,Human-readable accessory label,Installation metadata,active,1.0.0,,,,
asset_accessories_serial_number,asset.accessories[].serial_number,metadata,P2,transformed,simple_value,"""LLS-00933""",string,,Accessory serial number,Installation metadata,active,1.0.0,,,,
asset_accessories_sensors,asset.accessories[].sensors[],metadata,P1,transformed,array,"[{""type"":""temperature"",""position"":1},{""type"":""humidity"",""position"":1}]",array,,Array of sensor types/positions this accessory exposes,Installation metadata,active,1.0.0,,,,
asset_installation_ignition_input_number,asset.installation.ignition_input_number,metadata,BL,transformed,simple_value,1,number,,Digital input wired to ignition switch,Installation metadata,active,1.0.0,,,,
asset_installation_immobilizer_output_number,asset.installation.immobilizer_output_number,metadata,BL,transformed,simple_value,2,number,,Digital output controlling immobilizer relay,Installation metadata,active,1.0.0,,,,
asset_installation_initial_odometer_value,asset.installation.initial_odometer.value,metadata,BL,transformed,simple_value,154000,number,,Odometer reading at time of installation (offset). Measured in kilometers.,Installation metadata,active,1.0.0,,,,
asset_installation_initial_odometer_unit,asset.installation.initial_odometer.unit,metadata,BL,transformed,simple_value,"""km""",string,km,"Unit for odometer value (always ""km"")",Installation metadata,active,1.0.0,,,,
asset_installation_initial_odometer_last_updated_at,asset.installation.initial_odometer.last_updated_at,metadata,BL,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when `initial_odometer.value` was last updated. Used to track installation metadata changes and audit trail.",Backend compares current initial_odometer.value with previous,active,1.0.0,,,initial_odometer.value,
asset_installation_initial_engine_hours_value,asset.installation.initial_engine_hours.value,metadata,BL,transformed,simple_value,4200,number,h,Engine hours reading at time of installation (offset). Measured in hours.,Installation metadata,active,1.0.0,,,,
asset_installation_initial_engine_hours_unit,asset.installation.initial_engine_hours.unit,metadata,BL,transformed,simple_value,"""h""",string,h,"Unit for engine hours value (always ""h"")",Installation metadata,active,1.0.0,,,,
asset_installation_initial_engine_hours_last_updated_at,asset.installation.initial_engine_hours.last_updated_at,metadata,BL,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when `initial_engine_hours.value` was last updated. Used to track installation metadata changes and audit trail.",Backend compares current initial_engine_hours.value with previous,active,1.0.0,,,initial_engine_hours.value,
asset_properties_vehicle_serial_number,asset.properties.vehicle.serial_number,metadata,P2,asset_integrated,simple_value,"""string""",string,,OEM/installer serial number,Fleeti catalog,active,1.0.0,,,,
asset_properties_vehicle_brand,asset.properties.vehicle.brand,metadata,P1,asset_integrated,simple_value,"""string""",string,,Vehicle manufacturer brand,Fleeti catalog,active,1.0.0,,,,
asset_properties_vehicle_model,asset.properties.vehicle.model,metadata,P1,asset_integrated,simple_value,"""string""",string,,Vehicle model name,Fleeti catalog,active,1.0.0,,,,
asset_properties_vehicle_license_plate,asset.properties.vehicle.license_plate,metadata,P1,asset_integrated,simple_value,"""string""",string,,Registration plate displayed to users,Fleeti catalog,active,1.0.0,,,,
asset_properties_vehicle_vin,asset.properties.vehicle.vin,metadata,P2,asset_integrated,simple_value,"""string""",string,,"Vehicle identification number (VIN) - **Metadata only, no Navixy AVL ID available**",Fleeti catalog,active,1.0.0,,,,
asset_properties_vehicle_powertrain_primary_energy,asset.properties.vehicle.powertrain.primary_energy,metadata,P2,asset_integrated,simple_value,"""diesel|gasoline|electric|hybrid|cng|lng|hydrogen|other""",string,,Primary energy source (diesel/gasoline/electric/hybrid/CNG/LNG/hydrogen/other),Fleeti catalog,active,1.0.0,,,,
asset_properties_vehicle_powertrain_fuel_tank_capacity,asset.properties.vehicle.powertrain.fuel_tank_capacity,metadata,P1,asset_integrated,value_unit_object,"{""value"":600,""unit"":""l""}",object,l,"Nominal fuel tank size - `{ value: number, unit: ""l"" }`",Fleeti catalog,active,1.0.0,,,,
asset_properties_vehicle_powertrain_battery_capacity,asset.properties.vehicle.powertrain.battery_capacity,metadata,P2,asset_integrated,value_unit_object,"{""value"":120,""unit"":""kwh""}",object,kwh,"Battery capacity (for electric/hybrid vehicles) - `{ value: number, unit: ""kwh"" }`",Fleeti catalog,active,1.0.0,,,,
asset_properties_vehicle_powertrain_theoretical_consumption,asset.properties.vehicle.powertrain.theoretical_consumption,metadata,P2,asset_integrated,value_unit_object,"{""value"":32.5,""unit"":""l/100km""}",object,l/100km,"Expected fuel consumption baseline - `{ value: number, unit: ""l/100km"" }`",Fleeti catalog,active,1.0.0,,,,
asset_properties_vehicle_powertrain_theoretical_consumption_kwh,asset.properties.vehicle.powertrain.theoretical_consumption_kwh,metadata,P2,asset_integrated,value_unit_object,"{""value"":24.3,""unit"":""kwh/100km""}",object,kwh/100km,"Expected energy consumption baseline - `{ value: number, unit: ""kwh/100km"" }`",Fleeti catalog,active,1.0.0,,,,
asset_properties_equipment_serial_number,asset.properties.equipment.serial_number,metadata,P2,asset_integrated,simple_value,"""string""",string,,Equipment serial number,Fleeti catalog,active,1.0.0,,,,
asset_properties_equipment_brand,asset.properties.equipment.brand,metadata,P1,asset_integrated,simple_value,"""string""",string,,Equipment manufacturer brand,Fleeti catalog,active,1.0.0,,,,
asset_properties_equipment_model,asset.properties.equipment.model,metadata,P1,asset_integrated,simple_value,"""string""",string,,Equipment model name,Fleeti catalog,active,1.0.0,,,,
asset_properties_equipment_rated_power,asset.properties.equipment.rated_power,metadata,P2,asset_integrated,value_unit_object,"{""value"":180,""unit"":""kw""}",object,kw,"Equipment rated power - `{ value: number, unit: ""kw"" }`",Fleeti catalog,active,1.0.0,,,,
asset_properties_equipment_energy_source,asset.properties.equipment.energy_source,metadata,P2,asset_integrated,simple_value,"""diesel|electric|hybrid""",string,,Equipment energy source (diesel/electric/hybrid),Fleeti catalog,active,1.0.0,,,,
asset_properties_phone_platform,asset.properties.phone.platform,metadata,P2,asset_integrated,simple_value,"""ios|android|unknown""",string,,Mobile platform (ios/android/unknown),Fleeti catalog,active,1.0.0,,,,
asset_properties_phone_platform_version,asset.properties.phone.platform_version,metadata,P2,asset_integrated,simple_value,"""17.2""",string,,"Platform version (e.g., `17.2`)",Fleeti catalog,active,1.0.0,,,,
asset_properties_phone_employee_id,asset.properties.phone.employee_id,metadata,P1,asset_integrated,simple_value,"""string""",string,,Associated employee identifier (not yet available),Fleeti catalog,active,1.0.0,,,,
asset_properties_phone_employee_name,asset.properties.phone.employee_name,metadata,P1,asset_integrated,simple_value,"""string""",string,,Associated employee name (not yet available),Fleeti catalog,active,1.0.0,,,,
asset_properties_site_name,asset.properties.site.name,metadata,P1,asset_integrated,simple_value,"""Abidjan Coldroom West""",string,,Site name,Fleeti catalog,active,1.0.0,,,,
asset_properties_site_address_line1,asset.properties.site.address.line1,metadata,P2,asset_integrated,simple_value,"""Zone industrielle""",string,,Address line 1,Fleeti catalog,active,1.0.0,,,,
asset_properties_site_address_city,asset.properties.site.address.city,metadata,P2,asset_integrated,simple_value,"""Abidjan""",string,,City name,Fleeti catalog,active,1.0.0,,,,
asset_properties_site_address_country,asset.properties.site.address.country,metadata,P2,asset_integrated,simple_value,"""CI""",string,,Country code (ISO),Fleeti catalog,active,1.0.0,,,,
asset_properties_site_location_latitude,asset.properties.site.location.latitude,metadata,P0,asset_integrated,simple_value,5.3561,number,,Site latitude for map display,Fleeti catalog,active,1.0.0,,,,
asset_properties_site_location_longitude,asset.properties.site.location.longitude,metadata,P0,asset_integrated,simple_value,-4.0083,number,,Site longitude for map display,Fleeti catalog,active,1.0.0,,,,
asset_properties_site_surface,asset.properties.site.surface,metadata,P2,asset_integrated,value_unit_object,"{""value"":120,""unit"":""m2""}",object,m2,"Site surface area - `{ value: number, unit: ""m2"" }`",Fleeti catalog,active,1.0.0,,,,
asset_properties_site_capacity_units,asset.properties.site.capacity_units,metadata,P2,asset_integrated,simple_value,450,number,,Site capacity (units depend on site type),Fleeti catalog,active,1.0.0,,,,
asset_properties_site_temperature_range,asset.properties.site.temperature_range,metadata,P2,asset_integrated,nested_object,"{""min"":{""value"":-25,""unit"":""\u00b0C""},""max"":{""value"":5,""unit"":""\u00b0C""}}",object,\u00b0C,"Expected min/max temperature range (especially for cold rooms) - `{ min: { value: number, unit: ""°C"" }, max: { value: number, unit: ""°C"" } }`",Fleeti catalog,active,1.0.0,,,,
status_top_status,status.top_status,status,P0,calculated,nested_object,"{""family"":""transit"",""code"":""in_transit"",""last_changed_at"":""number""}",object,,Connectivity > Immobilization > Engine > Transit,Highest-priority status family,active,1.0.0,,,,
status_top_status_last_changed_at,status.top_status.last_changed_at,status,P0,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when the top status code last changed. Used to calculate duration of current status state.",Backend compares current code with previous value,active,1.0.0,,,,
status_statuses,status.statuses[],status,P0,calculated,array,"[{""family"":""connectivity"",""code"":""online"",""compatible"":true,""last_changed_at"":""number""},{""family"":""immobilization"",""code"":""free"",""compatible"":true,""last_changed_at"":""number""},{""family"":""engine"",""code"":""running"",""compatible"":true,""last_changed_at"":""number""},{""family"":""transit"",""code"":""in_transit"",""compatible"":true,""last_changed_at"":""number""}]",array,,Array of compatible status families with codes,Telemetry + Asset Metadata,active,1.0.0,,,,
status_statuses_last_changed_at,status.statuses[].last_changed_at,status,P0,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when this status family's code last changed. Used to calculate duration of current status (e.g., ""offline for 2h"", ""engine running since 10:30"").",Backend compares current code with previous value for each status family,active,1.0.0,,,,
geofences,geofences[],metadata,P1,calculated,array,"[{""geofence_id"":42,""geofence_name"":""Warehouse""},{""geofence_id"":15,""geofence_name"":""Service Area""}]",array,,Current geofences the asset is inside,location.lat/lng + Geofence Service,active,1.0.0,,,location.lat,
trip,trip,metadata,P1,calculated,nested_object,"{""id"":""uuid"",""started_at"":""number"",""distance"":{""value"":45.2,""unit"":""km""},""duration"":{""value"":3600,""unit"":""s""},""start_location"":{""lat"":5.3561,""lng"":-4.0083},""current_location"":{""lat"":5.4123,""lng"":-4.0156}}",object,km,Ongoing trip information (nullable),Ignition + Movement history,active,1.0.0,,,,
trip_distance,trip.distance,metadata,P1,direct,value_unit_object,"{""value"":45.2,""unit"":""km""}",object,km,Trip Odometer value,(Trip Odometer),active,1.0.0,,,,
trip_duration,trip.duration,metadata,P1,direct,value_unit_object,"{""value"":3600,""unit"":""s""}",object,s,Runtime since engine start,"(OBD Engine Runtime), avl_io_42 (Runtime since engine start)",active,1.0.0,,,,
nearby_assets_id,nearby_assets[].id,metadata,P2,direct,simple_value,"""ble_beacon_id_hex""",string,,List of Beacon IDs,"(Beacon), ble_beacon_id (BLE Beacon ID)",active,1.0.0,,,,
location_latitude,location.latitude,location,P0,direct,simple_value,"""decimal degrees (-90 to 90)""",string,,Latitude in decimal degrees,(Latitude),active,1.0.0,,,,
location_longitude,location.longitude,location,P0,direct,simple_value,"""decimal degrees (-180 to 180)""",string,,Longitude in decimal degrees,(Longitude),active,1.0.0,,,,
location_altitude,location.altitude,location,P2,direct,simple_value,"""meters above sea level""",string,m,Altitude in meters,(Altitude),active,1.0.0,,,,
location_heading,location.heading,location,P0,direct,simple_value,"""degrees (0-359, 0=North)""",string,,Heading in degrees (0-359),(Heading),active,1.0.0,,,,
location_cardinal_direction,location.cardinal_direction,location,P1,calculated,simple_value,"""string (N, NE, E, SE, S, SW, W, NW)""",string,,"Cardinal direction (N, NE, E, SE, S, SW, W, NW)",Derived from location.heading,active,1.0.0,,,location.heading,
location_geocoded_address,location.geocoded_address,location,P1,calculated,simple_value,"""string""",string,,Single string representation of the location,Reverse geocoding (server-side),active,1.0.0,,,,
location_last_changed_at,location.last_changed_at,location,P1,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when location/heading last changed significantly (threshold applied to filter GPS noise). Used for dwell-time calculations and ""parked since X"" features.","Backend compares current position/heading with previous, using threshold to filter GPS jitter",active,1.0.0,,,,
location_precision_fix_quality,location.precision.fix_quality,location,T,direct,simple_value,"""integer (0=no fix, 1=fix)""",string,,"0 - GNSS OFF 1 – GNSS ON with fix 2 - GNSS ON without fix 3 - GNSS sleep 4 - GNSS ON with fix, invalid data",(GNSS Status),active,1.0.0,,,,
location_precision_hdop,location.precision.hdop,location,T,direct,simple_value,"""decimal (-1 to 20, -1=unknown)""",string,,Horizontal Dilution of Precision,"(GNSS HDOP), hdop (HDOP)",active,1.0.0,,,,
location_precision_pdop,location.precision.pdop,location,T,direct,simple_value,"""decimal""",string,,Position Dilution of Precision,"(GNSS PDOP), pdop (PDOP)",active,1.0.0,,,,
location_precision_satellites,location.precision.satellites,location,T,direct,simple_value,"""integer (0-32)""",string,,Number of satellites in fix,(Satellites),active,1.0.0,,,,
connectivity_cell_id,connectivity.cell.id,connectivity,T,direct,simple_value,"""integer (0-65535)""",string,,GSM base station ID,(GSM Cell ID),active,1.0.0,,,,
connectivity_cell_lac,connectivity.cell.lac,connectivity,T,direct,simple_value,"""integer (0-65535)""",string,,Location Area Code (LAC). Depends on GSM operator. Provides unique number assigned to a set of base GSM stations. Used for cell tower identification.,(GSM Area Code),active,1.0.0,,,,
connectivity_data_mode,connectivity.data_mode,connectivity,P3,direct,simple_value,"""integer (0-255)""",string,,"Used differently across models. Most commonly: GSM/LTE network mode / roaming status. Sometimes appears as ""Data Mode"" or network type indicator. Interpretation depends on device model and firmware version.",(Data Mode),active,1.0.0,,,,
connectivity_operator,connectivity.operator,connectivity,T,direct,simple_value,"""string or integer code""",string,,Currently used GSM Operator code,(Active GSM Operator),active,1.0.0,,,,
connectivity_signal_level,connectivity.signal_level,connectivity,P1,direct,simple_value,"""integer (0-31, 99=unknown)""",string,,Value in range 1-5 Explanation,"(GSM Signal), gsm.signal.csq (GSM Signal CSQ)",active,1.0.0,,,gsm.signal.csq,
connectivity_sim_iccid,connectivity.sim.iccid[],connectivity,T,direct,array,"[""string""]",array,,"Value of SIM ICCID, MSB","(ICCID1), avl_io_14 (ICCID2)",active,1.0.0,,,,
motion_accelerometer_x,motion.accelerometer.x,motion,P3,direct,simple_value,"""number (mG)""",string,,X axis value,"(Axis X), axis_x (Axis X)",active,1.0.0,,,,
motion_accelerometer_y,motion.accelerometer.y,motion,P3,direct,simple_value,"""number (mG)""",string,,Y axis value,"(Axis Y), axis_y (Axis Y)",active,1.0.0,,,,
motion_accelerometer_z,motion.accelerometer.z,motion,P3,direct,simple_value,"""number (mG)""",string,,Z axis value,"(Axis Z), axis_z (Axis Z)",active,1.0.0,,,,
motion_instant_movement,motion.instant_movement,motion,P3,direct,simple_value,"""boolean""",string,,"**REQUIRES CLARIFICATION:** Semantic distinction from `motion.is_moving` unclear. Both are boolean movement indicators. Need to confirm with Navixy/GPS provider: What does ""Instant Movement"" represent vs. standard Movement detection?",(Instant Movement),active,1.0.0,,,motion.is_moving,REQUIRES CLARIFICATION
motion_is_moving_value,motion.is_moving.value,motion,P1,direct,simple_value,"""boolean""",string,,0 – Movement Off 1 – Movement On,"(Movement), moving (Is Moving)",active,1.0.0,,,,
motion_is_moving_last_changed_at,motion.is_moving.last_changed_at,motion,P1,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when `motion.is_moving.value` last changed. Used to show ""vehicle stopped since X"" and calculate dwell times.",Backend compares current is_moving.value with previous,active,1.0.0,,,"is_moving.value, motion.is_moving.value",
motion_speed,motion.speed,motion,P0,prioritized,value_unit_object,"{""value"":""number"",""unit"":""km/h""}",object,km/h,GNSS Speed,"(CAN Speed), obd_speed (OBD Speed), avl_io_24 (Speed), avl_io_37 (Vehicle Speed), avl_io_81 (Vehicle Speed), speed (Speed)",active,1.0.0,,,,
power_ignition,power.ignition,power,BL,prioritized,simple_value,"""boolean""",string,,"Ignition state (on/off). Computed from multiple sources (ignition cable, CAN signals, RPM, or AVL combined sources). Used by status computation and business logic. Source priority: SSF Ignition (`avl_io_898`) > CAN ignition state > CAN engine state > AVL Ignition (`avl_io_239`).",**Logic:** Prefer avl_io_898 (SSF Ignition); else can_ignition_state; else can_engine_state; else avl_io_239 (Ignition). All sources provide equivalent ignition state information.,active,1.0.0,,,,
power_ignition_last_changed_at,power.ignition_last_changed_at,power,BL,calculated,simple_value,"""number""",string,,"Unix Epoch timestamp (milliseconds, number) when `power.ignition` last changed. Used to show ""ignition on since X"", detect abnormal long ignition periods, and improve trip detection.",Backend compares current ignition value with previous,active,1.0.0,,,power.ignition,
power_low_voltage_battery_level,power.low_voltage_battery.level,power,P2,direct,value_unit_object,"{""value"":""number"",""unit"":""%""}",object,%,"Board/system battery level (%) – 12V, 24V, etc.",,active,1.0.0,,,,
power_low_voltage_battery_charging,power.low_voltage_battery.charging,power,P2,direct,simple_value,"""boolean""",string,,"0 = not charging, 1 = charging (alternator / DC-DC)",(SSF Battery Charging),active,1.0.0,,,,
power_ev_traction_battery_level,power.ev.traction_battery.level,power,P1,direct,value_unit_object,"{""value"":""number"",""unit"":""%""}",object,%,HV / drive battery SOC in %,(HV Battery Level),active,1.0.0,,,,
power_ev_charging_cable_plugged,power.ev.charging.cable_plugged,power,P1,direct,simple_value,"""boolean""",string,,"0 = unplugged, 1 = plugged. Indicates charging cable is physically connected to the vehicle.",(SSF Charging Wire Plugged),active,1.0.0,,,,
power_ev_charging_active,power.ev.charging.active,power,P1,calculated,simple_value,"""boolean""",string,,True when EV is actively charging (cable plugged AND battery level increasing). Note: Logic to be implemented in transformation pipeline based on battery level trend analysis.,cable_plugged = true AND traction_battery.level is increasing over time,active,1.0.0,,,traction_battery.level,
power_ev_motor_active,power.ev.motor.active,power,BL,direct,simple_value,"""boolean""",string,,"0 = off, 1 = electric motor active",(SSF Electric Engine State),active,1.0.0,,,,
power_ev_range_estimated_distance,power.ev.range.estimated_distance,power,P1,direct,value_unit_object,"{""value"":""number"",""unit"":""km""}",object,km,Remaining range on battery,(Vehicles Range On Battery),active,1.0.0,,,,
fuel_consumption_cumulative,fuel.consumption.cumulative,fuel,P1,aggregated,simple_value,"""example""",string,l,"Total fuel consumed (cumulative). Measured in liters. Sources include CAN consumption, GPS-calculated fuel used, and counted fuel consumed.",", can_consumption_relative, avl_io_103 (Fuel Used GPS), avl_io_107 (Fuel Consumed (counted)), avl_io_83 (Fuel Consumed)",active,1.0.0,,,,
fuel_consumption_rate,fuel.consumption.rate,fuel,P2,direct,simple_value,"""example""",string,,Fuel rate,"(CAN Fuel Rate), avl_io_110 (Fuel Rate)",active,1.0.0,,,,
fuel_energy_cng_status,fuel.energy.cng_status,fuel,P2,direct,simple_value,"""example""",string,,CNG Status,(CNG Status),active,1.0.0,,,,
fuel_levels_value,fuel.levels[].value,fuel,P1,prioritized,simple_value,"""example""",string,,Fuel level measured by LLS sensor via RS232/RS485,", can_fuel_litres, avl_io_390 (OBD OEM Fuel Level), obd_custom_fuel_litres, avl_io_201 (LLS 1 Fuel Level), avl_io_203 (LLS 2 Fuel Level), avl_io_210 (LLS 3 Fuel Level), avl_io_212 (LLS 4 Fuel Level), avl_io_234 (CNG Level), avl_io_270 (BLE Fuel Level #1), avl_io_273 (BLE Fuel Level #2), avl_io_84 (Fuel Level), avl_io_89 (Fuel level), ble_lls_level_1 (fuel), ble_lls_level_2 (fuel), fuel_level (Fuel Level), lls_level_1 (LLS Level 1), lls_level_2 (LLS Level 2), lls_level_3 (LLS Level 3), lls_level_4 (LLS Level 4)",active,1.0.0,,,,
fuel_energy_fuel_type_code,fuel.energy.fuel_type_code,fuel,P2,direct,simple_value,"""example""",string,,0 Not available 1 Gasoline 2 Methanol 3 Ethanol 4 Diesel 5 LPG 6 CNG 7 Propane 8 Electric 9 Bifuel running Gasoline 1...,(Fuel Type),active,1.0.0,,,,
counters_engine_hours,counters.engine_hours,counters,P1,aggregated,value_unit_object,"{""value"":""number"",""unit"":""h""}",object,h,"Total engine work time. Unit conversion may be required (some sources in seconds, others in hours).","(CAN Engine Hours), can_engine_hours_relative, avl_io_449 (Ignition On Counter), avl_io_102 (Engine Worktime)",active,1.0.0,,,,
counters_odometer,counters.odometer,counters,P1,aggregated,value_unit_object,"{""value"":""number"",""unit"":""km""}",object,km,Total Vehicle Mileage,"(CAN Mileage), can_mileage_relative, avl_io_389 (OBD OEM Total Mileage), obd_custom_odometer, avl_io_105 (Total Mileage (counted)), avl_io_16 (Total Odometer), avl_io_87 (Total Mileage), hw_mileage (Hardware Mileage), raw_mileage (Raw Mileage)",active,1.0.0,,,,
driving_behavior_brake_active,driving_behavior.brake_active,driving_behavior,P3,direct,simple_value,"""boolean""",string,,0 - Footbrake inactive 1 - Footbrake active,"(CAN Footbrake State), avl_io_910 (SSF Footbrake Is Active)",active,1.0.0,,,,
driving_behavior_daily_summary_driving_duration,driving_behavior.daily_summary.driving_duration,driving_behavior,P1,aggregated,value_unit_object,"{""value"":""number"",""unit"":""s""}",object,s,**Computed:** Cumulative time when the vehicle was actually moving (not just ignition on). Computed by backend based on motion data. Full implementation details will be documented in dedicated pages.,**Computed:** Cumulative time when the vehicle was actually moving (not just ignition on).,active,1.0.0,,,,
driving_behavior_daily_summary_idling_duration,driving_behavior.daily_summary.idling_duration,driving_behavior,P1,aggregated,value_unit_object,"{""value"":""number"",""unit"":""s""}",object,s,"**Computed:** Cumulative time when the vehicle was idling (ignition on, not moving). Full implementation details and thresholds will be documented in dedicated pages.","**Computed:** Cumulative time when the vehicle was idling (ignition on, not moving).",active,1.0.0,,,,
driving_behavior_daily_summary_event_counts_excessive_idling,driving_behavior.daily_summary.event_counts.excessive_idling,driving_behavior,P2,aggregated,simple_value,"""integer""",string,,"**Computed:** Count of excessive idling events. The ""excessive"" threshold is configurable (for example, idling longer than X minutes). Full implementation details will be documented in dedicated pages.",**Computed:** Count of excessive idling events.,active,1.0.0,,,,
driving_behavior_daily_summary_event_counts_harsh_acceleration,driving_behavior.daily_summary.event_counts.harsh_acceleration,driving_behavior,P1,aggregated,simple_value,"""integer""",string,,**Computed:** Number of harsh acceleration events. Device and/or backend detect harsh accelerations based on thresholds and aggregate the count for the period. Detailed logic will be documented separately.,**Computed:** Number of harsh acceleration events.,active,1.0.0,,,,
driving_behavior_daily_summary_event_counts_harsh_braking,driving_behavior.daily_summary.event_counts.harsh_braking,driving_behavior,P1,direct,simple_value,"""integer""",string,,**Computed:** Number of harsh braking events aggregated over the period. Full threshold and detection logic will be documented in dedicated pages.,**Computed:** Number of harsh braking events aggregated over the period.,active,1.0.0,,,,
driving_behavior_daily_summary_event_counts_harsh_cornering,driving_behavior.daily_summary.event_counts.harsh_cornering,driving_behavior,P1,direct,simple_value,"""integer""",string,,**Computed:** Number of harsh cornering events aggregated over the period. Full threshold and detection logic will be documented in dedicated pages.,**Computed:** Number of harsh cornering events aggregated over the period.,active,1.0.0,,,,
driving_behavior_daily_summary_event_counts_overspeed,driving_behavior.daily_summary.event_counts.overspeed,driving_behavior,P1,direct,simple_value,"""integer""",string,,**Computed:** Number of overspeed events. Definition of overspeed (vehicle-specific limits vs. road-speed limits) is being finalized. Implementation details will be documented in dedicated pages.,**Computed:** Number of overspeed events.,active,1.0.0,,,,
driving_behavior_daily_summary_eco_score_value,driving_behavior.daily_summary.eco_score.value,driving_behavior,P1,direct,simple_value,"""number""",string,,Eco-driving score value reported by device firmware (averaged events per distance).,(Eco Score),active,1.0.0,,,,
driving_behavior_throttle_position,driving_behavior.throttle_position,driving_behavior,P3,prioritized,value_unit_object,"{""value"":""number"",""unit"":""%""}",object,%,Throttle position,"(CAN Throttle), obd_throttle (OBD Throttle), avl_io_41 (Throttle Position), avl_io_82 (Accelerator Pedal Position)",active,1.0.0,,,,
sensors_environment_id,sensors.environment[].id,sensors,P1,calculated,simple_value,"""string""",string,,"Sensor identifier (e.g., Dallas sensor ID). Identity metadata is also derived from `asset.accessories[].sensors[]` (Section 1).","(Dallas Temperature ID 1), avl_io_77 (Dallas Temperature ID 2)",active,1.0.0,,,asset.accessories,
sensors_environment_temperature,sensors.environment[].temperature,sensors,P1,prioritized,value_unit_object,"{""value"":""number"",""unit"":""\u00b0C""}",object,\u00b0C,"Temperature readings from LLS, BLE, Dallas, and external sensors. Measured in degrees Celsius.","(LLS 1 Temperature), avl_io_204 (LLS 2 Temperature), avl_io_25 (BLE Temperature #1), avl_io_26 (BLE Temperature #2), avl_io_27 (BLE Temperature #3), avl_io_28 (BLE Temperature #4), avl_io_72 (Dallas Temperature 1), avl_io_73 (Dallas Temperature 2), ble_temp_sensor_1 (BLE Temp 1), ble_temp_sensor_2 (BLE Temp 2), ble_temp_sensor_3 (BLE Temp 3), ble_temp_sensor_4 (BLE Temp 4), ext_temp_sensor_1 (External Temp 1), ext_temp_sensor_2 (External Temp 2), ext_temp_sensor_3 (External Temp 3), lls_temperature_1 (LLS Temperature 1), lls_temperature_2 (LLS Temperature 2), temp_sensor (Temperature Sensor)",active,1.0.0,,,,
sensors_environment_humidity,sensors.environment[].humidity,sensors,P1,prioritized,value_unit_object,"{""value"":""number"",""unit"":""%""}",object,%,"Relative humidity readings from environmental sensors (BLE probes, LLS/external humidity sensors, or other accessories). Measured in percent (%).","(BLE Humidity #1), avl_io_104 (BLE Humidity #2), avl_io_106 (BLE Humidity #3), avl_io_108 (BLE Humidity #4), ble_humidity_1 (BLE Humidity 1), ble_humidity_2 (BLE Humidity 2), ble_humidity_3, ble_humidity_4, humidity_1 (Humidity 1), humidity_2 (Humidity 2)",active,1.0.0,,,,
