Fleeti Field,Telemetry Type,Navixy Fields,Bytes,Type,Value range Min,Value range Max,Multiplier,Units,Description
diagnostics.health.electronics_power_control,data,can_electronics_power_control (CAN Electronics Power Control),,,,,,,
diagnostics.health.low_fuel_warning,data,can_low_fuel (can),,,,,,,
diagnostics.health.low_tire_pressure_warning,data,can_low_tire_pressure (can),,,,,,,
diagnostics.health.low_tire_pressure_warning,data,avl_io_966 (ISF Low Tire Pressure Indicator),,,,,,,
diagnostics.health.mil_activated_distance,data,obd_mil_activated_distance (OBD MIL Activated Distance),,,,,,,
diagnostics.health.mil_activated_distance,data,avl_io_43 (Distance Traveled MIL On),,,,,,,
diagnostics.health.mil_status,data,obd_mil_status (OBD MIL Status),,,,,,,
diagnostics.ignition.key_inserted,data,avl_io_652 (SSF KeyInIgnitionLock),,,,,,,
diagnostics.occupancy.front_passenger,data,avl_io_945 (CSF Front Passenger Present),,,,,,,
diagnostics.occupancy.front_passenger,data,can_front_passenger_presence (CAN Front Passenger Presence),,,,,,,
diagnostics.safety.airbag_state,data,can_airbag_state (can),,,,,,,
diagnostics.steering.eps_state,data,can_eps_state (EPS State),,,,,,,
diagnostics.trailer.axle_lift_active[],data,can_trailer_axle_lift_active_2 (CAN Trailer Axle Lift Active 2),,,,,,,
diagnostics.trailer.axle_lift_active[],data,can_trailer_axle_lift_active_1 (CAN Trailer Axle Lift Active 1),,,,,,,
driver.authorization.state,data,avl_io_248 (Immobilizer),,,,,,,
driver.extended_id,data,avl_io_238 (User ID),,,,,,,
driver.hardware_key.ibutton,data,ibutton (iButton ID),,,,,,,
driver.hardware_key.ibutton,data,avl_io_78 (iButton),,,,,,,
driver.hardware_key.rfid,data,avl_io_207 (RFID),,,,,,,
driving_behavior.autopilot.active,data,can_cruise_control (CAN Cruise Control),,,,,,,
driving_behavior.brake_active,data,can_footbrake_state (CAN Footbrake State),,,,,,,
driving_behavior.brake_active,data,avl_io_910 (SSF Footbrake Is Active),,,,,,,
driving_behavior.daily_summary.driving_duration,data,Computed,,,,,,,
driving_behavior.daily_summary.event_counts.*,event,Computed,,,,,,,
driving_behavior.daily_summary.event_counts.*,event,Computed,,,,,,,
driving_behavior.daily_summary.event_counts.*,event,Computed,,,,,,,
driving_behavior.daily_summary.event_counts.*,event,Computed,,,,,,,
driving_behavior.daily_summary.event_counts.*,event,Computed,,,,,,,
driving_behavior.daily_summary.event_counts.excessive_idling,event,Computed,,,,,,,
driving_behavior.daily_summary.event_counts.harsh_acceleration,event,Computed,,,,,,,
driving_behavior.daily_summary.event_counts.harsh_braking,event,Computed,,,,,,,
driving_behavior.daily_summary.event_counts.harsh_cornering,event,Computed,,,,,,,
driving_behavior.daily_summary.event_counts.overspeed,event,Computed,,,,,,,
driving_behavior.eco_score.daily_value,data,Computed,,,,,,,
driving_behavior.eco_score.green_driving_type,data,avl_io_253 (Green driving type),,,,,,,
driving_behavior.eco_score.green_driving_value,data,avl_io_254 (Green Driving Value),,,,,,,
driving_behavior.eco_score.value,data,avl_io_15 (Eco Score),,,,,,,
driving_behavior.privacy_mode,data,avl_io_391 (Private mode),,,,,,,
driving_behavior.throttle_position,data,obd_throttle (OBD Throttle),,,,,,,
driving_behavior.throttle_position,data,can_throttle (CAN Throttle),,,,,,,
driving_behavior.throttle_position,data,avl_io_82 (Accelerator Pedal Position),,,,,,,
driving_behavior.throttle_position,data,avl_io_41 (Throttle Position),,,,,,,
engine.ignition_on,data,avl_io_898 (SSF Ignition),,,,,,,
engine.running,data,avl_io_900 (SSF Engine Working),,,,,,,
ev.charging.active,data,avl_io_915 (SSF Batttery Charging),,,,,,,
ev.charging.cable_plugged,data,avl_io_914 (SSF Charging Wire Plugged),,,,,,,
ev.motor.active,data,avl_io_916 (SSF Electric Engine State),,,,,,,
ev.ready_to_drive,data,avl_io_902 (SSF Ready To Drive),,,,,,,
events.device_unplugged,event,avl_io_252 (Unplug),,,,,,,
events.harsh_acceleration.force,event,acceleration (Acceleration),,,,,,,
events.harsh_braking.force,event,braking (Braking),,,,,,,
events.harsh_cornering.force,event,cornering (Cornering),,,,,,,
events.harsh_cornering.radius,event,cornering_rad (Cornering Radius),,,,,,,
events.idling,event,avl_io_251 (Idling),,,,,,,
events.towing,event,towing (Towing),,,,,,,
events.towing,event,avl_io_125 (Towing Detection),,,,,,,
events.trip,event,avl_io_250 (Trip),,,,,,,
fuel.consumption.cumulative,data,can_consumption_relative (can),,,,,,,
fuel.consumption.cumulative,data,can_consumption (can),,,,,,,
fuel.consumption.cumulative,data,avl_io_107 (Fuel Consumed (counted)),,,,,,,
fuel.consumption.cumulative,data,avl_io_83 (Fuel Consumed),,,,,,,
fuel.consumption.cumulative,data,avl_io_103 (Fuel Used GPS),,,,,,,
fuel.consumption.rate,data,avl_io_110 (Fuel Rate),,,,,,,
fuel.consumption.rate,data,can_fuel_rate (CAN Fuel Rate),,,,,,,
fuel.energy.cng_status,data,avl_io_232 (CNG Status),,,,,,,
fuel.levels[].value,data,avl_io_390 (OBD OEM Fuel Level),,,,,,,
fuel.levels[].value,data,avl_io_201 (LLS 1 Fuel Level),,,,,,,
fuel.levels[].value,data,avl_io_203 (LLS 2 Fuel Level),,,,,,,
fuel.levels[].value,data,avl_io_234 (CNG Level),,,,,,,
fuel.levels[].value,data,can_fuel_1 (can),,,,,,,
fuel.levels[].value,data,can_fuel_litres (can),,,,,,,
fuel.levels[].value,data,obd_custom_fuel_litres (obd),,,,,,,
fuel.levels[].value,data,avl_io_210 (LLS 3 Fuel Level),,,,,,,
fuel.levels[].value,data,avl_io_212 (LLS 4 Fuel Level),,,,,,,
fuel.levels[].value,data,avl_io_270 (BLE Fuel Level #1),,,,,,,
fuel.levels[].value,data,avl_io_273 (BLE Fuel Level #2),,,,,,,
fuel.levels[].value,data,fuel_level (Fuel Level),,,,,,,
fuel.levels[].value,data,lls_level_1 (LLS Level 1),,,,,,,
fuel.levels[].value,data,lls_level_2 (LLS Level 2),,,,,,,
fuel.levels[].value,data,lls_level_3 (LLS Level 3),,,,,,,
fuel.levels[].value,data,lls_level_4 (LLS Level 4),,,,,,,
fuel.levels[].value,data,ble_lls_level_1 (fuel),,,,,,,
fuel.levels[].value,data,ble_lls_level_2 (fuel),,,,,,,
fuel.levels[].value,data,avl_io_84 (Fuel Level),,,,,,,
fuel.levels[].value,data,avl_io_89 (Fuel level),,,,,,,
fuel.temperature,data,avl_io_102 (Fuel Temperature),,,,,,,
geofence.auto_status,data,avl_io_175 (Auto Geofence),,,,,,,
geofence.device_zones[32].inside,data,avl_io_208 (Geofence zone 33),,,,,,,
geofence.zone_id,data,avl_io_155 (Geofence zone 01),,,,,,,
io.analog.values,data,adc (analog),,,,,,,
io.analog.values,data,avl_io_6 (Analog Input 2),,,,,,,
io.analog.values,data,avl_io_9 (Analog Input 1),,,,,,,
io.inputs.individual.*,data,avl_io_1 (Digital Input 1),,,,,,,
io.inputs.individual.*,data,avl_io_2 (Digital Input 2),,,,,,,
io.inputs.individual.*,data,avl_io_3 (Digital Input 3),,,,,,,
io.inputs.individual.*,data,avl_io_4 (Pulse Counter Din1),,,,,,,
io.outputs.bitmask,data,outputs (Output Status),,,,,,,
io.outputs.individual.*,data,avl_io_180 (Digital Output 2),,,,,,,
io.outputs.individual.*,data,avl_io_179 (Digital Output 1),,,,,,,
io.outputs.individual.*,data,avl_io_380 (Digital output 3),,,,,,,
location.altitude,data,alt (Altitude),,,,,,,
location.hdop,data,hdop (HDOP),,,,,,,
location.hdop,data,avl_io_182 (GNSS HDOP),,,,,,,
location.heading,data,heading (Heading),,,,,,,
location.latitude,data,lat (Latitude),,,,,,,
location.longitude,data,lng (Longitude),,,,,,,
location.pdop,data,pdop (PDOP),,,,,,,
location.pdop,data,avl_io_181 (GNSS PDOP),,,,,,,
location.precision.fix_quality,data,avl_io_69 (GNSS Status),,,,,,,
location.satellites,data,satellites (Satellites),,,,,,,
motion.accelerometer.x,data,avl_io_17 (Axis X),,,,,,,
motion.accelerometer.x,data,axis_x (Axis X),,,,,,,
motion.accelerometer.y,data,avl_io_18 (Axis Y),,,,,,,
motion.accelerometer.y,data,axis_y (Axis Y),,,,,,,
motion.accelerometer.z,data,avl_io_19 (Axis Z),,,,,,,
motion.accelerometer.z,data,axis_z (Axis Z),,,,,,,
motion.instant_movement,data,avl_io_303 (Instant Movement),,,,,,,
motion.instant_movement_duration,data,avl_io_243 (Green driving event duration),,,,,,,
motion.is_moving,data,avl_io_240 (Movement),,,,,,,
motion.is_moving,data,moving (Is Moving),,,,,,,
motion.speed,data,avl_io_24 (Speed),,,,,,,
motion.speed,data,avl_io_37 (Vehicle Speed),,,,,,,
motion.speed,data,can_speed (CAN Speed),,,,,,,
motion.speed,data,obd_speed (OBD Speed),,,,,,,
motion.speed,data,speed (Speed),,,,,,,
motion.speed,data,avl_io_81 (Vehicle Speed),,,,,,,
nearby_assets[].id,data,ble_beacon_id (BLE Beacon ID),,,,,,,
nearby_assets[].id,data,avl_io_385 (Beacon),,,,,,,
other.flags.agricultural_state,data,avl_io_124 (Agricultural Machinery Flags),,,,,,,
other.flags.agricultural_state,data,avl_io_520 (Agricultural State Flags P4),,,,,,,
other.flags.cistern_state,data,avl_io_522 (Cistern State Flags P4),,,,,,,
other.flags.control_state,data,avl_io_123 (Control State Flags),,,,,,,
other.flags.control_state,data,avl_io_518 (Control State Flags P4),,,,,,,
other.flags.indicator_state,data,avl_io_519 (Indicator State Flags P4),,,,,,,
other.flags.security_state,data,avl_io_132 (Security State Flags),,,,,,,
other.flags.security_state,data,avl_io_517 (Security State Flags P4),,,,,,,
other.flags.utility_state,data,avl_io_521 (Utility State Flags P4),,,,,,,
other.harvest.mowing_efficiency,data,avl_io_127 (Mowing Efficiency),,,,,,,
other.impulse_counters,data,impulse_counter_1 (Impulse Counter 1),,,,,,,
other.impulse_counters,data,impulse_counter_2 (Impulse Counter 2),,,,,,,
other.raw_can,data,raw_can_15 (Raw CAN 15),,,,,,,
other.raw_can,data,raw_can_16 (Raw CAN 16),,,,,,,
other.raw_can,data,raw_can_1 (Raw CAN 1),,,,,,,
other.raw_can,data,raw_can_11 (Raw CAN 11),,,,,,,
other.raw_can,data,raw_can_14 (Raw CAN 14),,,,,,,
other.raw_can,data,raw_can_17 (Raw CAN 17),,,,,,,
other.raw_can,data,raw_can_3 (Raw CAN 3),,,,,,,
other.raw_can,data,raw_can_8 (Raw CAN 8),,,,,,,
other.raw_can,data,raw_can_9 (Raw CAN 9),,,,,,,
power.battery.level,data,avl_io_152 (HV Battery Level),,,,,,,
power.battery.level,data,can_battery_level (can),,,,,,,
power.battery.range,data,avl_io_304 (Vehicles Range On Battery),,,,,,,
power.battery.voltage,data,board_voltage (External Voltage),,,,,,,
power.ignition,data,avl_io_239 (Ignition),,,,,,,
power.ignition,data,can_ignition_state (CAN Ignition),,,,,,,
power.ignition,data,can_engine_state (can),,,,,,,
provider.event,event,EVENT (Event),,,,,,,
provider.event_code,event,event_code (Event Code),,,,,,,
provider.event_subcode,event,sub_event_code (Sub Event Code),,,,,,,
provider.time.device_time,data,msg_time (metadata),,,,,,,
provider.time.provider_time,data,server_time (metadata),,,,,,,
security.immobilizer.engine_lock_active,data,avl_io_907 (SSF Engine Lock Active),,,,,,,
security.immobilizer.request_lock_engine,data,avl_io_908 (SSF Request To Lock Engine),,,,,,,
sensors.battery,data,avl_io_20 (BLE Battery #2),,,,,,,
sensors.battery,data,avl_io_22 (BLE Battery #3),,,,,,,
sensors.battery,data,avl_io_23 (BLE Battery #4),,,,,,,
sensors.battery,data,ble_battery_level_2 (BLE Battery 2),,,,,,,
sensors.battery,data,ble_battery_level_3 (BLE Battery 3),,,,,,,
sensors.battery,data,ble_battery_level_4 (BLE Battery 4),,,,,,,
sensors.custom[],data,avl_io_331 (BLE 1 Custom #1),,,,,,,
sensors.custom[],data,avl_io_332 (BLE 2 Custom #1),,,,,,,
sensors.custom[],data,avl_io_333 (BLE 3 Custom #1),,,,,,,
sensors.custom[],data,avl_io_463 (BLE 1 Custom #2),,,,,,,
sensors.custom[],data,avl_io_464 (BLE 1 Custom #3),,,,,,,
sensors.custom[],data,avl_io_465 (BLE 1 Custom #4),,,,,,,
sensors.custom[],data,avl_io_466 (BLE 1 Custom #5),,,,,,,
sensors.custom[],data,avl_io_467 (BLE 2 Custom #2),,,,,,,
sensors.custom[],data,avl_io_468 (BLE 2 Custom #3),,,,,,,
sensors.custom[],data,avl_io_469 (BLE 2 Custom #4),,,,,,,
sensors.custom[],data,avl_io_470 (BLE 2 Custom #5),,,,,,,
sensors.custom[],data,avl_io_471 (BLE 3 Custom #2),,,,,,,
sensors.custom[],data,avl_io_472 (BLE 3 Custom #3),,,,,,,
sensors.custom[],data,avl_io_473 (BLE 3 Custom #4),,,,,,,
sensors.frequency[],data,avl_io_306 (BLE Fuel Frequency #1),,,,,,,
sensors.frequency[],data,freq_1 (Frequency 1),,,,,,,
sensors.frequency[],data,freq_2 (Frequency 2),,,,,,,
sensors.frequency[],data,ble_frequency_1 (BLE Frequency 1),,,,,,,
sensors.humidity,data,humidity_1 (Humidity 1),,,,,,,
sensors.humidity,data,humidity_2 (Humidity 2),,,,,,,
sensors.humidity,data,ble_humidity_1 (BLE Humidity 1),,,,,,,
sensors.humidity,data,ble_humidity_2 (BLE Humidity 2),,,,,,,
sensors.humidity,data,ble_humidity_3 (other),,,,,,,
sensors.humidity,data,ble_humidity_4 (other),,,,,,,
sensors.humidity[],data,avl_io_86 (BLE Humidity #1),,,,,,,
sensors.humidity[],data,avl_io_108 (BLE Humidity #4),,,,,,,
sensors.humidity[],data,avl_io_104 (BLE Humidity #2),,,,,,,
sensors.humidity[],data,avl_io_106 (BLE Humidity #3),,,,,,,
sensors.inertial[].pitch,data,ble_pitch_1 (other),,,,,,,
sensors.inertial[].pitch,data,ble_pitch_2 (other),,,,,,,
sensors.inertial[].roll,data,ble_roll_1 (other),,,,,,,
sensors.inertial[].roll,data,ble_roll_2 (other),,,,,,,
sensors.magnet,data,ble_magnet_sensor_1 (other),,,,,,,
sensors.magnet,data,ble_magnet_sensor_2 (other),,,,,,,
sensors.magnet,data,ble_magnet_sensor_3 (other),,,,,,,
sensors.temperature,data,avl_io_25 (BLE Temperature #1),,,,,,,
sensors.temperature,data,avl_io_26 (BLE Temperature #2),,,,,,,
sensors.temperature,data,avl_io_27 (BLE Temperature #3),,,,,,,
sensors.temperature,data,avl_io_28 (BLE Temperature #4),,,,,,,
sensors.temperature,data,avl_io_72 (Dallas Temperature 1),,,,,,,
sensors.temperature,data,avl_io_73 (Dallas Temperature 2),,,,,,,
sensors.temperature,data,ble_temp_sensor_1 (BLE Temp 1),,,,,,,
sensors.temperature,data,ble_temp_sensor_2 (BLE Temp 2),,,,,,,
sensors.temperature,data,ble_temp_sensor_3 (BLE Temp 3),,,,,,,
sensors.temperature,data,ble_temp_sensor_4 (BLE Temp 4),,,,,,,
sensors.temperature,data,ext_temp_sensor_1 (External Temp 1),,,,,,,
sensors.temperature,data,ext_temp_sensor_2 (External Temp 2),,,,,,,
sensors.temperature,data,ext_temp_sensor_3 (External Temp 3),,,,,,,
sensors.temperature,data,avl_io_202 (LLS 1 Temperature),,,,,,,
sensors.temperature,data,avl_io_204 (LLS 2 Temperature),,,,,,,
sensors.temperature,data,lls_temperature_1 (LLS Temperature 1),,,,,,,
sensors.temperature,data,lls_temperature_2 (LLS Temperature 2),,,,,,,
sensors.temperature,data,temp_sensor (Temperature Sensor),,,,,,,
sensors[].id,data,avl_io_76 (Dallas Temperature ID 1),,,,,,,
sensors[].id,data,avl_io_77 (Dallas Temperature ID 2),,,,,,,
trip.distance,data,avl_io_199 (Trip Odometer),,,,,,,
trip.duration,data,avl_io_42 (Runtime since engine start),,,,,,,
trip.duration,data,obd_time_since_engine_start (OBD Engine Runtime),,,,,,,
vehicle.energy.fuel_type_code,data,avl_io_759 (Fuel Type),,,,,,,
